PROJECT_TITLE,ABSTRACT_TEXT,CORE_PROJECT_NUM,PI_NAMEs,ORG_NAME,FISCAL_YEAR,SOURCE,EXP_HEAVY_METALS,EXP_AIR_POLLUTION,EXP_PFAS,EXP_PESTICIDES,EXP_PHTHALATES_BPA,EXP_SOLVENTS,EXP_PAHS_DIOXINS_PCBS,EXP_FLAME_RETARDANTS,EXP_MICROPLASTICS,EXP_NITRATES,MECH_NEURODEGENERATION,MECH_INFLAMMATION,MECH_OXIDATIVE_MITOCHONDRIAL,MECH_ENDOCRINE,MECH_MICROBIOME,MECH_IMMUNE_DYSFUNCTION,MECH_DNA_DAMAGE,MECH_EPIGENETIC,MECH_RECEPTOR_SIGNALING,MECH_SENESCENCE_CELL_DEATH,MECH_BARRIER_DISRUPTION,ORGAN_BRAIN_NERVOUS,ORGAN_GI_GUT,ORGAN_RESPIRATORY,ORGAN_CARDIOVASCULAR,ORGAN_REPRODUCTIVE,ORGAN_LIVER,ORGAN_KIDNEY,ORGAN_IMMUNE,ORGAN_SKIN,ORGAN_ENDOCRINE,TYPE_MECHANISTIC,TYPE_TOXICITY_SCREENING,TYPE_BIOMARKER,TYPE_RISK_ASSESSMENT,TYPE_INTERVENTION,TYPE_METHODS,TYPE_CONFERENCE,TYPE_CENTER_CORE,ADMINISTERING_IC,STAGE_EXPOSURE_CHAR,STAGE_TOXICITY,STAGE_MECHANISM,STAGE_HEALTH_OUTCOME,STAGE_INTERVENTION,PARTICLE_MICRO,PARTICLE_NANO,PARTICLE_FIBER,PARTICLE_ADDITIVE,MODEL_INVITRO,MODEL_RODENT,MODEL_ZEBRAFISH,MODEL_OTHER_ANIMAL,MODEL_HUMAN,MODEL_ENVIRONMENTAL,END_UPTAKE,END_INFLAMMATION,END_OXIDATIVE,END_GUT_MICROBIOME,END_REPRODUCTIVE,END_CARDIOVASCULAR,END_RESPIRATORY,END_NEURO,END_IMMUNE,END_GENOTOXIC
Center for Environmental Health in Northern Manhattan,"Our world is changing rapidly. Societal and technological changes require an ever-evolving vision for solving emerging and persisting environmental health challenges, from polluted air and water to microplastics and new types of chemicals. New York City communities confront a substantial burden of these environmental harms. Therefore, our theme, “Re-envisioning environmental health in communities in a changing world,” captures the vision for the next funding period of the Center for Environmental Health in Northern Manhattan (CEHNM). The Center’s work will be articulated across three directions that reflect our strengths and interests, which we will advance through corresponding working groups: (1) Advancing the Exposome; (2) Environmental Data Science; and (3) Biological and Molecular Mechanisms.
The mission of the CEHNM is to understand health concerns caused by environmental exposures and reduce harmful environmental exposures through translational science and partnerships. CEHNM is housed in the lower-income neighborhood of Washington Heights, surrounded by communities in Harlem and the South Bronx located near major roadways and transit hubs to enter and exit Manhattan, which are burdened by harmful environmental conditions. Our Community Engagement Core builds on longstanding and impactful collaboration with community members and proposes new methods of identifying and collaborating with community groups and supporting research to examine and ameliorate environmental health burden. We house a Career Development Program that has successfully supported scientists at Columbia University. Our Integrated Health Sciences Facility Core will integrate the expertise of six laboratories in sampling, processing, and state-of-the-art analysis of environmental and biological matrices. Our Study Design and Data Science Facility Core facilitates the use of contemporary study designs and a wide array of data management, biostatistics, and data science approaches.
CEHNM’s Pilo",P30ES009089,"PERZANOWSKI, MATTHEW S (contact)",COLUMBIA UNIVERSITY HEALTH SCIENCES,2025.0,NIH,0,0,0,0,0.0,0.0,0.0,0,1,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ES,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"NanoSafe Tested™ Facilities: Point-of-Need Exposure Assessment for Ultrafine Particulates, Microplastics, and Engineered Nanomaterials in Production Environments","ITA International, LLC Response to NIEHS; NIH, PA-23-230, R43 SBIR Phase I
PROJECT SUMMARY
New production technologies, e.g., 3D printers, generate high concentrations of airborne ultrafine particulates
(UFPs), micro- and nano-plastics (MNPs), and engineered nanomaterials (ENMs) such as nanometals and carbon
nanotubes (CNTs); likewise, the community is now recognizing legacy production techniques, e.g., injection
molding, also produce these respiratory threats to human health. Guidance from occupational health bodies is still
under development for many of these emerging materials, leaving users with serious gaps regarding exposure
assessment and mitigation.
 Current exposure assessment methodologies are unable to reliably quantify airborne concentrations of
UFP/MNP/ENMs in realistic production settings, where these particulates are co-mixed with each other and
additional ambient or process-related particulates. Under established guidance, facilities that handle carbonaceous
nanomaterials such as CNTs, for instance, are directed to use thermogravimetric methods (NIOSH Method 5040) for
quantification of total elemental carbon, which cannot distinguish CNTs from many common production materials
such as carbon black. This is problematic, since their recommended exposure levels (RELs) differ by 3500x (1 µg/m3
for CNTs vs. 3.5 mg/m3 for carbon black).
 Further, toxicological determinations are still developing for UFP/MNP/ENMs, with new compositions generated
by emerging technologies adding to the backlog yearly. ENMs that have been in use for decades now have
recommended exposure levels established based on robust toxicological studies, and these are very low compared to
general dust standards. Current established guidance suggests the total dust permissible exposure level (PEL) of 15
mg/m3 be applied to UFPs and MNPs, despite a growing body of literature cataloguing negative health effects at a
fraction of this concentration.
 ITA proposes to develop a holistic methodol",R43ES037180,"HILL, WILLIAM CARY (contact)",ITA INTERNATIONAL LLC,2025.0,NIH,0,0,0,0,0.0,0.0,0.0,0,1,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ES,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Identifying environmental pollutants detrimental to the cardiovascular system,"Project Summary/Abstract
 The current proposal represents a combined clinical and basic/molecular investigation which
seeks to examine mechanisms of vascular dysfunction associated with persistent organic pollutants
(POPs) and environmental toxicants that contribute to the pathogenesis of cardiovascular diseases.
Lipophilic pollutants that have contaminated our food chains and consumer products bio-accumulate in
human adipose tissues, some frequently termed “forever chemicals”, and negatively impact our health
including the cardiovascular system. Our application builds on our compelling preliminary data which, to
our knowledge for the first time, demonstrate that specific pollutants are causally linked to vascular
dysfunction, impaired angiogenesis, and inflammation, many at concentrations thought to be safe for
people. In this proposal, we will seek to characterize the pathogenic effects of diverse toxicants upon
the human vascular system by probing direct and indirect mechanisms owing to disruption of adipocyte
biology. We will employ several complementary approaches harnessing physiological studies of
vascular endothelial function and angiogenesis, cellular imaging, single molecule fluorescence in situ
hybridization (smFISH), RNA-Seq., cellular cross-talk experiments, and secretome proteomics analyses
to gain novel insights into molecular mechanisms linked to the pathogenesis of toxicant-mediated
disease. In Aim 1, we will characterize the effects of environmental chemicals on human vascular
function by examining endothelial vasodilator responses using videomicroscopy of live intact human
arterioles and perform angiogenic assays from human fat biopsies collected during elective surgical
procedures in 150 obese male and female subjects. In Aim 2, we will investigate the pathophysiological
contribution of toxicants to adipocyte dysfunction and their role in negatively skewing the adipose milieu
toward a pro-atherogenic secretome, and probe biological effects via ad",R01HL173978,"GOKCE, NOYAN  (contact);SCHLEZINGER, JENNIFER J",BOSTON UNIVERSITY MEDICAL CAMPUS,2025.0,NIH,0,0,1,1,0.0,0.0,0.0,0,1,0.0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HL,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
Mechanisms of nano plastic transport in the brain,"Project Summary:
Nanoplastics (plastic particles smaller than one micron) are ubiquitous in our environment. Nanoplastics are
found in our food, drinking water, and even in the air we breathe. However, knowledge is just now emerging
regarding the uptake and accumulation of nanoplastics into the body and how this may impact human health. Of
particular concern is how nanoplastics may impact the brain. Exposure to airborne pollutants and toxins has
been found to be a strong risk factor in the development of neurodegenerative disease, and interestingly, a
decreased sense of smell (anosmia) has been found to be one of the best predictors of the development of
neurodegenerative disease. This raises the possibility that nanoplastics can enter the brain via the olfactory
system. The olfactory sensory neurons that line the nasal epithelium send direct axon projections into the brain,
making the olfactory system a potential a conduit for inhaled foreign substances to enter the brain. In neurons,
the active transport of vesicles and organelles down axons from the neuronal cell body to synapses is carried
out by kinesin motor proteins that walk along microtubule tracks. The overarching hypothesis of the proposed
work is that nanoplastics are taken up by neurons in the periphery, hijack the kinesin-microtubule axonal transport
machinery, and are thereby rapidly transported into the brain. To test this model, we (neuroscientist Drew and
biophysicist Hancock) will investigate plastic nanoparticle uptake in the mouse olfactory system in vivo and
nanoparticle interactions with kinesin motor proteins in vitro. Our preliminary studies have shown that intranasal
application of fluorescent polystyrene nanoparticles in mice results in nanoparticle uptake by olfactory sensory
neurons and spreading to the olfactory bulb over just a few hours. This transport is far too rapid to be accounted
for by diffusion, suggesting the possibility that the nanoparticles are actively transported by kines",R21ES037200,"DREW, PATRICK JAMES;HANCOCK, WILLIAM OLAF (contact)","PENNSYLVANIA STATE UNIVERSITY, THE",2025.0,NIH,0,0,0,0,0.0,0.0,0.0,0,1,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ES,1,0,1,1,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0
Role of PXR in EDC-induced cardiovascular disease,"Project Summary
Atherosclerotic cardiovascular disease (CVD) is the leading cause of mortality and morbidity worldwide and
recent large-scale human studies have implicated a link between exposure to endocrine disrupting chemicals
(EDCs) and CVD. However, how exposure to EDCs and other environmental chemicals influences CVD risk is
still poorly understood, and continues to hamper assessment of the health risks of EDC exposure. With the
NIEHS funding support, we have identified many EDCs as potent agonists of the xenobiotic sensor pregnane X
receptor (PXR). The identification of EDCs as PXR ligands has provided an important tool for the study of new
mechanisms through which EDC exposure impacts disease. Our laboratory was the first to reveal the novel
function of PXR in the regulation of atherosclerosis development, and has also demonstrated that widely-used
EDCs including bisphenol A, dicyclohexyl phthalate, and tributyl citrate increase atherosclerosis and
dyslipidemia through PXR signaling in various mouse models. Influences of the chemical environment on
human health have become the subject of intense interest but very few studies in the EDC research field have
focused on atherosclerosis development. My diverse scientific training in molecular biology, toxicology,
pharmacology, and cardiovascular research has put me in a unique position to investigate how “gene-EDC
interactions” affect atherosclerosis development and lipid homeostasis. This EDC-Induced CVD
Revolutionizing Innovative, Visionary Environmental health Research Program (EICVD-RIVER) will allow me to
investigate the broad scientific theme of the impact of EDC exposure on lipid homeostasis and atherosclerosis
in adults and their offspring. EICVD-RIVER will address the following specific scientific questions: 1) How many
common chemicals in plastic and other consumer products act as EDCs to modulate PXR activities? Can
different EDC mixtures synergistically activate PXR? 2) Through which cell-specific mec",R35ES035015,"ZHOU, CHANGCHENG  (contact)",UNIVERSITY OF CALIFORNIA RIVERSIDE,2025.0,NIH,0,0,0,0,1.0,0.0,0.0,0,1,0.0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ES,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Defining the Harmful Effects of Microplastics on Gastrointestinal Health,"Program Director/Principal Investigator: Castillo, Eliseo, F
PROJECT SUMMARY
Plastic pollution and the breakdown of plastic materials primarily into micron-sized microplastic particles (MP)
have contaminated our food and water sources, raising public health concerns. MP ingestion by humans is
now an inevitable consequence of global plastic pollution and there is a critical gap in knowledge as to how MP
impact human health (WHO). There is also an important gap in knowledge regarding how MP affect the major
direct organ of contact, the gastrointestinal (GI) tract. The studies proposed in this grant application seek to
bridge this gap in environmental health knowledge and provide insight into how MP pose a significant health
risk to the general population as well as susceptible (i.e. Inflammatory Bowel Disease; IBD) individuals. Our
preliminary data provides evidence chronic MP exposure affects the GI tract specifically causing gut dysbiosis,
low-level intestinal inflammation, and alterations in cellular metabolism. Based on our preliminary studies, we
advance a novel hypothesis that MP ingestion indeed pose a human health hazard by disrupting oxidative
metabolism in epithelial cells subsequently causing intestinal permeability, dysbiosis, and an immunometabolic
active state which could lead to intestinal inflammation. Additionally, we hypothesize MP ingestion pose a
significant health risk to individuals that have an underlying condition such as intestinal inflammation as seen in
IBD patients. The goals of this application are to investigate how MP induce cellular changes in intestinal
epithelial cells and to determine how these MP-induced changes in cellular pathways can lead to intestinal
permeability, dysbiosis and an inflammatory state. In aim 1, we will investigate the effects of varying doses and
types of MP on intestinal permeability in a zebrafish model. In Aim 2, we will determine the mechanism behind
MP induced dysbiosis and intestinal permeability. Aim 3 wi",R01ES032037,"CASTILLO, ELISEO F (contact)",UNIVERSITY OF NEW MEXICO HEALTH SCIS CTR,2025.0,NIH,0,0,0,0,0.0,0.0,0.0,0,1,0.0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ES,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0
Uteroplacental Vasculature and Fetal Growth after Plastic Particle Exposure,"PROJECT SUMMARY/ABSTRACT
In humans, fetal growth restriction (FGR) and impaired placental development are associated with infant
morbidity and mortality and susceptibility to adulthood diseases. In pregnant animals, inhalation of particles alters
the functionality of the uteroplacental vasculature, leading to impaired placental and fetal growth. Particulate
matter (PM) can target the uteroplacental vasculature in multiple ways. One way by which particles can disrupt
the uteroplacental vasculature is by impairing vasodilation. During pregnancy, uterine vessels must be sensitive
to vasodilation mediators to meet the dynamic needs of the placenta and fetus. Central to this vasoreactivity is
the endothelial cell that translates signals from the blood to the vascular smooth muscle cells, leading to vessel
dilation or constriction. Additionally, the placenta is a critical organ for the diffusion of oxygen and transport of
nutrients to the developing fetus. PM can impair development of the placental vasculature that allows for
maternal-fetal exchange and decrease the ratio of placental-to-fetal tissue, known as placental efficiency. Our
laboratory recently showed that plastic particles can translocate through the placenta to the fetus after pulmonary
exposure, suggesting that the particles directly interact with the uteroplacental vasculature. The environmental
burden of plastics is exponentially increasing. Micro’ nanoplastics (MNPs) represent a ubiquitous exposure
concern for the general population and for vulnerable groups, such as pregnant women, it is important to
elucidate how MNP inhalation may affect fetal development. These particles are generated and suspended in
the air by the combustion of bulk plastic or through slower processes like mechanical degradation where a bulk
plastic fragments into small pieces in the microparticle (>100 nm) and nanoparticle (<100 nm) size range. Our
preliminary data demonstrates that MNP inhalation in virgin female rats disrupts ute",F31ES035256,"CARY, CHELSEA  (contact)",RUTGERS BIOMEDICAL AND HEALTH SCIENCES,2025.0,NIH,0,1,0,0,0.0,0.0,0.0,0,1,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,ES,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
Biodistribution and biological impact assessment of micro-plastics water contaminants using a sensitive and reliable Xenopus experimental platform,"This research proposal addresses growing concerns about small plastic debris (0.1ƒÝm to 5 mm) or 
Microplastics (MPs) that have become major pollutants of aquatic ecosystems worldwide and pose serious 
threats to human health. We propose to leverage a comparative biology approach using the amphibian 
Xenopus laevis to define the biodistribution of representative environmentally relevant virgin and 
experimentally aged MPs; and determine how postembryonic exposure to these MPs can induce 
perturbations of development, fitness, immune homeostasis, chronic inflammation, and poorer 
antimicrobial immunity that are exacerbated at higher water temperature. 
Our rationale to leverage X. laevis is that (1) it is a reliable, extensively characterized and widely recognized 
model of human perinatal and biomedical research; (2) because the post-embryonic development of X. laevis 
tadpoles is external and not protected by the maternal environment, the immune system differentiation is 
particularly sensitive to perturbations by water pollutant such as MPs; (3) X. laevis wide thermotolerance is 
ideal for exploring the influence of temperature on MP biodistribution and biological activity; (4) it is cost 
effective to expose tadpoles in large numbers to MPs; and (5) X. laevis immune system is remarkably similar to 
that of humans and we have convincingly established X. laevis as a human health relevant experimental 
organism to reveal deleterious effects of developmental exposure to water pollutants. 
To test the hypothesis that developmental exposure to MPs induces perturbations of development, 
fitness, immune homeostasis, chronic inflammation and poorer antiviral immunity that are exacerbated 
at higher water temperature, we will determine: (1) the biodistribution of environmentally-relevant virgin and 
experimentally aged MPs in exposed tadpoles, by visualizing and quantifying the transit, dissemination and 
accumulation of different types, doses, sizes and treatments of MPs ",P01ES035526,"ROBERT, JACQUES  (contact)",UNIVERSITY OF ROCHESTER,2025.0,NIH,0,0,0,0,0.0,0.0,0.0,0,1,0.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,ES,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0
Synthesis of Environmentally Relevant Nanoplastics and their Toxicological Consequences Mediated by Environmental Pollutants and Biomolecule Adsorption,"Project Summary / Abstract
Plastic waste is a global environmental and health concern. Degradation of plastics results in the generation of
micro- and nanoplastics which are currently ubiquitous within the environment and have diverse properties in
terms of composition, shape, size, and inclusion of manufacturing additives. Humans are exposed to micro- and
nanoplastics through numerous routes of exposure including oral, inhalation, and dermal via their presence
within water, foods, and air. Measurable amounts of plastic particulates have been found in human volunteers in
various tissues and safety evaluations of representative nanoplastics utilizing cell culture and animal models
have demonstrated the potential for toxicity. The consequential biological and adverse health effects associated
with these emerging nanoplastic exposures are not well understood. Currently, most toxicity assessments
evaluating nanoplastics utilize pristine representative polystyrene nanoparticles which may not represent
environmental exposure scenarios and the biological mechanisms induced following exposures. To address this
significant limitation, we have developed a novel procedure to reproducibly generate micro- and nanoplastics of
increased environmental relevance from common plastic waste materials. Our assessment supports these
plastic particles have appropriate physicochemical properties (composition, size, shape, charge) and induce
differential in vitro toxicity including cytotoxicity, inflammation, and oxidative stress. This procedure for generating
nanoplastics is innovative and allows for the investigation of fundamental and translatable mechanisms of
toxicity. Specifically, evidence suggests nanoplastics can adsorb hazardous environmental contaminants on their
surface enhancing their toxicity. This adsorption is likely governed by properties of the nanoplastic and the
environmental contaminant. Further, following entry into the body particulates associate biomolecules which ma",R21ES036308,"MITRA, SOMENATH ;SHANNAHAN, JONATHAN HENRY (contact)",PURDUE UNIVERSITY,2025.0,NIH,0,0,0,0,0.0,0.0,0.0,0,1,0.0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ES,0,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
The influence of tampon nanoplastic particles on gynecological mucosal barriers,"PROJECT SUMMARY
It was recently reported that tampons, a menstrual hygiene product used by over half the population of people
who menstruate, release up to 17 billion nanoplastic particles per use. However, neither the chemical
characteristics of the tampon nanoplastic particles nor the physiological effects of these particles coming in direct
contact with gynecological tissues have been identified. Therefore, the overall goal of this application is to define
both the chemical characteristics of tampon nanoplastic particles as well as their downstream physiological
effects on the gynecological tissue, Typically, the mucosal epithelial barriers of the vagina and cervix serve as
protective barriers against infection and disease, yet there is currently very little known about how nanoplastics
penetrate these barriers, which could potentially induce inflammation, oxidative stress, and dysregulated
hormonal signaling, which cumulatively can lead to cervical and endometrial cancer, vaginosis, endometriosis,
and impaired fertility. Furthermore, there is growing appreciation that exposure to biologically relevant
environments can cause a corona of biological components to form around nanoparticles, altering the surface
morphology and enhancing the internalization of plastic particles. Thus, our overarching hypothesis is that
proteins found in menstrual blood adsorb to the surface of the nano-plastic particles shed from tampons, forming
a biological corona that enables them to penetrate and disrupt cervical and vaginal mucosal membranes. This
hypothesis with be explored by pursuing the following aims: 1. Characterize the surface chemistry of tampon
nanoplastics shed in a biologically relevant environment; and 2. Determine the role of the biological coronas on
tampon nanoplastics' ability to penetrate cervical and vaginal mucosal barriers and detrimentally affect
downstream signaling cascades. The proposed research is significant, because it will provide a comprehensive
overv",R21ES035963,"FOGG, KAITLIN C (contact)",OREGON STATE UNIVERSITY,2025.0,NIH,0,0,0,0,0.0,0.0,0.0,0,1,0.0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,ES,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0
