doc_id,title,authors,doi,pub_date,year,abstract,MODEL_RODENT,MODEL_INVITRO,MODEL_ZEBRAFISH,MODEL_HUMAN,MODEL_ENVIRONMENTAL,MODEL_OTHER_ANIMAL,ORGAN_BRAIN_NERVOUS,ORGAN_CARDIOVASCULAR,ORGAN_GI_GUT,ORGAN_RESPIRATORY,ORGAN_REPRODUCTIVE,ORGAN_LIVER,ORGAN_KIDNEY,ORGAN_IMMUNE,ORGAN_ENDOCRINE,MECH_OXIDATIVE,MECH_INFLAMMATION,MECH_BARRIER,MECH_MICROBIOME,MECH_ENDOCRINE,MECH_NEURODEGENERATION,MECH_IMMUNE,MECH_DNA_DAMAGE,MECH_RECEPTOR,MECH_CELL_DEATH,LLM_MECH_OXIDATIVE_STRESS,LLM_MECH_INFLAMMATION,LLM_MECH_BARRIER_DISRUPTION,LLM_MECH_MICROBIOME,LLM_MECH_ENDOCRINE,LLM_MECH_NEURODEGENERATION,LLM_MECH_IMMUNE_DYSFUNCTION,LLM_MECH_DNA_DAMAGE,LLM_MECH_RECEPTOR_SIGNALING,LLM_MECH_CELL_DEATH,LLM_ORGAN_BRAIN_NERVOUS,LLM_ORGAN_CARDIOVASCULAR,LLM_ORGAN_GI_GUT,LLM_ORGAN_RESPIRATORY,LLM_ORGAN_REPRODUCTIVE,LLM_ORGAN_LIVER,LLM_ORGAN_KIDNEY,LLM_ORGAN_IMMUNE,LLM_ORGAN_ENDOCRINE,LLM_MODEL_INVITRO,LLM_MODEL_RODENT,LLM_MODEL_ZEBRAFISH,LLM_MODEL_HUMAN,LLM_MODEL_ENVIRONMENTAL,LLM_MODEL_OTHER_ANIMAL,STUDY_DETECTION_HUMAN,source_type
bio_003f08736c63,ACCUMULATION OF MICROPLASTIC AND MICRORUBBER PARTICLES IN STORMWATER POND FISH AND INVERTEBRATES,"Stephanie B. LaPlaca, Peter van den Hurk *",10.1101/2022.03.03.482888,2022-03-03,2022,"Stormwater ponds serve as best management practices to trap or remove both physical and chemical pollutants before further discharge of stormwater into receiving natural waterbodies. Stormwater ponds can therefore accumulate high levels of pollutants, including microplastics (MP) and microrubber (MR) from road runoff. It was hypothesized that biota in stormwater ponds that receive large amounts of road runoff, or are in proximity to roadways and major developments, would contain significant amounts of MP per individual, with high abundances of tire particles (TP). Fish and invertebrates were collected from five stormwater ponds and their adjacent tidal creeks in Mt. Pleasant, SC, USA. Whole organisms were digested using KOH and digested contents were filtered and analyzed by visual microscopy to identify and count MPs. The majority (>80%) of MP recovered from biota across all sites were suspected TP. The average number of MP per individual ranged from 0.3 to 71 MP and the average number of suspected tire particles per individual ranged from 0 to 57.7 tire particles. There were significant differences in MP per individual observed between sites and between species. A combination of factors such as availability of MPs based on surrounding land use, pond hydrodynamics, organism size, and species feeding habitat likely influenced the total MP observed among the different sites and species analyzed. These data provide preliminary examination into the fate and transport of MP and MR in stormwater ponds and an evaluation of MP and MR abundance in organisms from stormwater ponds in the coastal zone.",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,bioRxiv (preprint)
bio_006dc6f46c19,"Microplastic ingestion by a herring  Opisthonema sp. , in the Pacific coast of Costa Rica","Luis Bermúdez-Guzmán, Crista Alpízar-Villalobos, Johan Gatgens-García, Gabriel Jiménez-Huezo, Marco Rodríguez-Arias, Helena Molina-Ureña, Javier Villalobos, Sergio A. Paniagua, José R. Vega-Baudrit, Keilor Rojas-Jimenez *",10.1101/670679,2019-06-13,2019,"Despite there is a growing interest in studying the presence and effects of microplastics (MP) in fishes and other aquatic species, knowledge is still limited in tropical areas. In this study, we examined the presence of MP in the gastrointestinal content of 30 filter feeders of thread herring,  Opisthonema  complex (Clupeiformes: Clupeidae) from the Central Pacific coast of Costa Rica. We detected the presence of MP in 100% of the individuals with an average of 36.7 pieces per fish, of which 79.5% were fibers and 20.5% particles. To our knowledge, this is the first study in Costa Rica that demonstrates the presence of MP in planktivorous fishes. The effects of microplastics ingestion by  O. libertate  and its transit through aquatic food webs should be studied in greater detail, with greater number of sampling points at different times of the year. However, our work confirms that contamination by microplastics is having direct effects on the marine life of Costa Rica. This is the first multidisciplinary study in Costa Rica demonstrating the presence and nature of microplastics in the digestive tract of planktivorous fish.",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,bioRxiv (preprint)
bio_ba15c64a6dce,The impact of microplastic contamination in cow manure on reproductive behavior and larval survival in the dung beetle  Onthophagus taurus,"Nathan McConnell, Jaydon Galindo Lovell, Jill Walker, Benjamin J. Mathews, Scott G. Morton, Jonathan B. Shurin, Patrick T. Rohner *",10.1101/2025.10.14.682200,2025-10-14,2025,"Microplastics are an emerging environmental hazard on a global scale. Their detection in agricultural environments is of particular concern not only for food contamination, but also because microplastics negatively impact detritivores and their ecosystem functioning. Dung beetles in particular provide vital ecosystem services in agricultural environments and are often vulnerable to anthropogenic hazards, but whether they are affected by microplastics remains unclear. Here, we test whether artificial contamination of cow dung with thermoplastic polyurethane (TPU) has the potential to affect the juvenile development and maternal behavior of the bull-headed dung beetle  Onthophagus taurus . Dung beetles exhibited high mortality when exposed to elevated concentrations of TPU. In addition, females were equally likely to provision offspring with TPU-spiked (and lethal) cow dung as with control dung, suggesting that females cannot differentiate between highly toxic microplastic-contaminated and uncontaminated cow dung. Our findings highlight potentially severe consequences for dung beetles if microplastics persist and accumulate, although the levels of exposure in the field are unknown. Although the direct environmental hazards and the mechanisms mediating the negative impacts of TPU microplastics remain to be assessed, this study suggests that microplastics may negatively impact dung beetles and their ecosystem services. Future work assessing exposure levels in the field as well as dung beetles’ potential to evolve resistance against microplastic pollution will be necessary to assess the long-term impact of microplastic presence on dung beetle ecosystem functioning.",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,bioRxiv (preprint)
bio_0354b0f56d9b,"Microplastics from disposable paper cups are enriched in the placenta and fetus, leading to metabolic and reproductive toxicity during pregnancy","Qiong Chen *, Chen Peng, Haoteng Xu, Zhuojie Su, Gulimire Yilihan, Xin Wei, Yueran Shen, Chao Jiang *",10.1101/2024.01.20.576431,2024-01-20,2024,"The health implications of microplastics (MPs), especially those originating from hot drinks in disposable paper cups (DPCs), are increasingly alarming. We investigated the accumulation and metabolic and reproductive toxicological effects of MPs from DPCs filled with hot water in various tissues in a pregnant mouse model. Simulating human intake of 0.3, 3.3, and 33.3 cups daily, we found MPs exposure-induced dose-responsive harmful effects on murine fetal development and maternal physiology. MPs were detected in all 13 examined tissues, with the highest accumulation in the cecal contents, followed by significant depositions in the fetus, placenta, kidney, spleen, lung, and heart. A higher proportion of smaller MPs (90.35% < 10 μm) was identified in brain tissues. Dose-responsive changes in functional microbiome and gene pathways were observed. Moderate MPs intake of 3.3 cups daily significantly altered cecal microbiome composition and metabolic functions. The transcriptomic functional variations in maternal blood, placenta, and mammary gland underscore the significant impacts of realistic MPs exposure on metabolic and immune health and posing neurodegenerative and miscarriage risks. The benchmark dose framework analysis using tissue-specific gene biomarkers revealed safe exposure limits at 2 to 4 cups/day during pregnancy. Our results indicate selective tissue accumulation and potential metabolic and reproductive toxicities of MPs at exposure levels presumed non-hazardous. Such risks remain unaddressed within current food safety regulations, impacting vulnerable groups such as pregnant women and fetuses. Microplastics released from disposable paper cups filled with hot water showed preferential accumulations in the murine fetus, placenta, kidney, spleen, lung, and heart, with significant adverse impacts on fetal development. Microplastic exposure led to dose-responsive maternal microbiome changes associated with increased fatty acid biosynthesis and elevated express",1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,1,bioRxiv (preprint)
med_043072996c17,Human bioaccumulation of micro- and nanoplastics is primarily determined by the organs’ vascular volume,Alfonso M. Gañán-Calvo *,10.1101/2024.10.01.24314502,2024-10-01,2024,"Recent studies have demonstrated the accumulation of micro- and nanoplastics (MNPs) in human organs, particularly in the brain, at an alarming rate (Campen et al., 2024, doi.org/10.21203/rs.3.rs-4345687/v1). This study examines the phenomenon of bioaccumulation in relation to up to six distinct biological and biomedical parameters pertaining to vascular structure and composition in seven organ tissues: the brain cortex, kidney, liver, testis, and three arteries (coronary, carotid and aorta). As anticipated based on fundamental mechanistic considerations of bioaccumulation (washing rate), the MNP content appears to be proportional to the inverse of the capillary volume fraction ( V c ), exhibiting no correlation with any other geometric variable, such as capillary diameter or capillary segment length. This finding is consistent with the small size spectra of MNPs in comparison to these dimensions. However, contrary to expectations, no correlation was observed between MNP content and biological composition (lipid, water, or carbohydrate content), while a likely non-causal correlation was observed between MNP content and protein content, which may be simply attributed to the non-linear correlation between protein content and  V c . The conclusions that point to a possibly exceedingly large number of MNP particles currently in our brains call for urgent further investigation and the revision of the published data.",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,1,medRxiv (preprint)
bio_04521dae6f9d,Effects of true to life polyethylene terephthalate and polycaprolactone nanoparticles on macrophages under a repeated exposure mode,"Véronique Collin-Faure, Aliro Villacorta, Hélène Diemer, Sarah Cianférani, Ricard Marcos, Alba Hernandez, Marie Carrière, Elisabeth Darrouzet, Thierry Rabilloud *",10.1101/2025.11.08.687361,2025-11-08,2025,"Micro and nanoplastics are pollutants which concentration in different biotopes increases continuously over time, which poses the question of their potential effects on health. In animals, these micro and nanoplastics are recognized as particulate materials and thus handled by macrophages, either directly in the case of lung exposure, or after the particles have crossed the epithelial barriers in case of oral or dermal exposure. It is thus important to study the potential effects of micro and nanoplastics on macrophages. Most studies have used an experimental scheme in which the cells of interest are exposed to a single dose of plastics, and where the readout of the studied parameters is made immediately after exposure. However, this classical experimental scheme does not take into account the impact of biopersistence, nor the potential cellular adaptation that may take place when cells are exposed repeatedly to a low dose of plastics. We thus used a repeated exposure scheme, in order to better take into account these phenomena. Within this frame, we compared the macrophages responses to a persistent nanoplastic, i.e. true-to-life polyethylene terephthalate nanoparticles and to a biodegradable nanoplastic, i.e. polycaprolactone, by a combination of proteomic and targeted experiments. Our results show that under this repeated exposure scheme, the proteome changes were of a lesser extent than under the acute exposure mode, indicating cell adaptation. However, polyethylene terephthalate nanoparticles induced oxidative stress and a pro-inflammatory response, while polycaprolactone nanoparticles induced a depression of macrophages functions, indicating harmful effects even in the repeated exposure scheme.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,bioRxiv (preprint)
bio_0784011d6c84,Polyethylene terephthalate (PET) micro- and nanoplastic particles affect the mitochondrial efficiency of human brain vascular pericytes without inducing oxidative stress,"Sean M. Gettings, William Timbury, Anna Dmochowska, Riddhi Sharma, Lewis E. MacKenzie, Guillaume Miquelard-Garnier, Nora Bourbia *",10.1101/2023.10.24.563735,2023-10-24,2023,"The objective of this investigation was to evaluate the influence of micro- and nanoplastic particles composed of polyethylene terephthalate (PET), a significant contributor to plastic pollution, on human brain vascular pericytes. Specifically, we delved into their impact on mitochondrial functionality, oxidative stress, and the expression of genes associated with oxidative stress and ferroptosis. Our findings demonstrate that the exposure of a monoculture of human brain vascular pericytes to PET particles  in vitro  at a concentration of 50 ppm for a duration of 6 days did not elicit oxidative stress. Notably, we observed an augmentation in various aspects of mitochondrial respiration, including extracellular acidification, proton pump leakage, maximal respiration, spare respiratory capacity, and ATP production in pericytes subjected to PET particles. Furthermore, there were no statistically significant alterations in mitochondrial DNA copy number, or the expression of genes linked to oxidative stress and ferroptosis. These outcomes suggest that, at a concentration of 50 parts per million (ppm) and for 6 days exposure, PET particles do not induce oxidative stress in human brain vascular pericytes. Instead, they seem to incite a potential mitochondrial hormesis, also named mitohormesis, response, which seemingly enhances mitochondrial function. Further investigations are warranted to explore the stages of mitohormesis and the potential consequences of plastics on the integrity of the blood-brain barrier and intercellular interactions. This research contributes to our comprehension of the potential repercussions of nanoplastic pollution on human health and underscores the imperative need for ongoing examinations into the exposure to plastic particles. Fabrication of polyethylene terephthalate (PET) micro- and nanoplastics PET particles increase pericytes mitochondrial respiration functions PET particles increase pericytes extracellular acidification Oxidative stress ",0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,bioRxiv (preprint)
bio_0a17d8006c34,Deleterious imprinting of perinatal exposure to nano-polystyrene on inflammatory bowel diseases,"Melvin Airaud, Amandine Roldan, Jeanne Le Cléac’h, Lisa Isoard, Emmanuel Mas, Marie Carrière, Sandrine Ménard *, Frédérick Barreau *",10.1101/2024.12.20.629591,2024-12-20,2024,"The tremendous and exponential production of plastics as well as its poor recycling leads to massive release in the environment questioning their outcomes on human health. Plastics are degraded into micro-plastic (MPL) and nano-plastic (NPL) that undergo weathering. MPL and NPL enter the human food chain via contaminated food, when animals are bred or vegetables grew on in plastic polluted environment and through the degradation of plastics food packaging. Ingested MPL or NPL can pass through epithelial barrier. This study focuses on consequences of oral perinatal exposure to polystyrene 50nm pristine or weathered (w) on intestinal disorders onset in offspring. Mouse were forced fed daily with 1.25mg of PS50 or PS50w starting at 15 days of gestation until pups weaned (Post Natal Day PND21). Oral tolerance protocol was induced at PND15 (nutritional switch) with ovalbumin (OVA) whereas DSS-induced colitis was performed in PND63 offspring. PS50 nor PS50w perinatal exposure did impair tolerance or immunization to OVA at PND15 in male or females. However, PS50 and PS50w perinatal exposure significantly worsened macroscopic score of DSS-induced colitis in both sexes. Perinatal exposure to PS50w appeared to be even more deleterious than PS50 for colitis exacerbation in males. In conclusion, early life exposure to PS50 or PS50w has long-lasting consequences on gut physiology by increasing the colonic severity of colitis while it does not modify oral tolerance establishment in early life. Those preliminary results questioned the kinetic of perinatal PS50 and PS50w exposure outcome over the life course and introduce the notion of imprinting. Perinatal exposure to PS50 or PS50w does not affect oral tolerance establishment nor immune response to immunisation at PND15 Perinatal exposure to PS50 or PS50w have long lasting consequences on intestinal inflammation and colitis. PS50w in male has even more deleterious outcomes. Restricted exposure to PS50 or PS50w during perinatal has",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,bioRxiv (preprint)
bio_0bfbc0736d77,Efficient Prediction of Microplastic Counts from Mass Measurements,"Shuyao Tan, Joshua Taylor, Elodie Passeport *",10.1101/2021.01.04.425187,2021-01-04,2021,"Microplastics must be characterized and quantified to assess their impact. Current quantification procedures are time-consuming and rely on expensive equipment. This study evaluates the use of machine learning to estimate the number of microplastic particles based on aggregate particle weight measurements. Synthetic datasets are used to test the performance of linear regression, kernel ridge regression and decision trees. Kernel ridge regression achieves the strongest performance, and it is also tested with experimental datasets. The numerical results show that the algorithm is better at predicting the counts of larger and more homogenous samples, and that contamination by organics does not significantly increase error. In mixed samples, prediction error is lower for heavier particles, with an error rate comparable to or better than that of manual counting. Overall, the proposed method is faster, cheaper and easier than current approaches. Using generated and real datasets, this study demonstrates that Kernel Ridge Regression can estimate microplastic counts from weight measurements as accurately as traditional visual sorting techniques.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bioRxiv (preprint)
bio_122a4ffd7e20,"DEVELOPMENT AND VALIDATION OF A QUESTIONNAIRE ASSESSING PLASTIC USE PATTERNS, KNOWLEDGE, AND ATTITUDES TOWARD MICROPLASTICS IN RELATION TO COGNITIVE FUNCTION IN INDONESIA","Pukovisa Prawiroharjo *, Agustino Zulys, Aldithya Fakhri, Afifah Rahmi Andini, Anyelir Nielya Mutiara Putri, Noryanto Ikhromi, Elizabeth Divina, Aileen Gabrielle",10.1101/2025.06.23.660969,2025-06-23,2025,"Microplastics (MPs) have emerged as pervasive environmental contaminants, with growing concerns about their potential health impacts, including neurocognitive effects. In Indonesia, where plastic pollution is severe, no validated tool exists to assess public plastic use patterns and MP awareness in relation to cognitive health. This study aimed to develop and validate a comprehensive questionnaire evaluating plastic consumption behaviors, MP knowledge, attitudes, and their association with cognitive function in Indonesian adults. A cross-sectional pilot study was conducted with 30 participants (80% female, mean age 37.4±13.7 years). The questionnaire was developed through literature review, expert consultation, and focus group discussions, covering six domains: demographics, health history, MP knowledge, plastic use behaviors, environmental attitudes, and cognitive screening (AD-8). Validity was assessed using Pearson’s correlation, and reliability was measured via Cronbach’s alpha. The questionnaire demonstrated strong validity for knowledge (r=0.379, p=0.039), behavior (r=0.726, p<0.001), and attitude sections (r=0.385, p=0.036), with acceptable reliability (α=0.623). Neurocognitive assessment revealed significantly lower AD-8 scores in participants with cognitive decline (mean=11.14) versus normal cognition (mean=18.03, p=0.038). Key findings included high single-use plastic consumption, limited awareness of MP regulations (70% uninformed), and an attitude-behavior gap in mitigation efforts. The tool effectively identified MP knowledge gaps and behavioral risks while suggesting a plausible link between plastic exposure and cognitive impairment. The AD-8’s sensitivity and specificity supported its utility for screening, though the modest sample size limited statistical power for correlation analyses. This validated questionnaire provides a critical foundation for assessing MP-related cognitive risks in Indonesia. Future studies should expand validation in larger c",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,bioRxiv (preprint)
