id                                   | title                                                        | authors                                                      | doi                         | pub_date       | abstract_text                                               
-------------------------------------+--------------------------------------------------------------+--------------------------------------------------------------+-----------------------------+----------------+-------------------------------------------------------------
f66080d3-764b-1014-b152-b5fffa4d2948 | The impact of microplastics on the mice gut microbiome: a... | Anika Kalra, Davide Dominoni, Jelle Boonekamp *              | 10.1101/2025.09.22.677931   | September_2025 | Microplastics are nearly ubiquitous in the natural enviro...
b6cf9975-709b-1014-ac7b-8b93ea07bee1 | Nanoplastics Penetration Across the Blood-Brain Barrier      | Annemarie Ianos, Jessica Zhou, Tongxuan Qiao, Tao Wei, Ba... | 10.1101/2025.09.10.675462   | September_2025 | Microplastics and nanoplastics (MNPs), originating from p...
aa1f0057-71e3-1014-8163-9c298c2cee71 | Aggregation in experimental studies with microparticles: ... | Sophia Reichelt, Rehab El-Shehawy, Elena Gorokhova *         | 10.1101/2025.09.13.676006   | September_2025 | The role of microorganisms is frequently overlooked in ef...
e0622c9c-764b-1014-8490-b6f2bf4e2d44 | PET-Microplastics Trigger Endothelial Glycocalyx Loss via... | Weixue Huo, Jin Qu, Sen Wang, Mengwei He, Zhaoxiang Zeng,... | 10.1101/2025.09.22.677783   | September_2025 | Polyethylene terephthalate microplastics (PET-MPs), a maj...
ccc3f702-6df0-1014-98b7-9aa1bd87bc1a | Trophic transfer of nanoplastics reduces larval survival ... | Siti Syazwani Azmi, Ozan Oktay, Hee-Jin Kim, Hisayuki Nak... | 10.1101/2025.09.10.675286   | September_2025 | Microplastics (MPs) and nanoplastics (NPs) are widespread...
526b7578-7333-1014-96c5-b8618fe06195 | Vertical distribution and migration of microplastics in s... | Shekoufeh Forouzan, Sajjad Abbasi *, Ali Akbar Moosavi *,... | 10.1101/2025.09.17.676919   | September_2025 | Microplastics (MPs) in soils have recently emerged as a s...
8e805e85-7093-1014-a42a-a6e89a0a9764 | High-throughput bacterial aggregation analysis in droplets   | Merili Saar-Abroi, Karoliine Lindpere, Triini Olman, Fene... | 10.1101/2024.09.24.613170   | September_2024 | The communal lifestyle of bacteria manifested as bacteria...
667e7882-6d73-1014-86d3-a9a503f27bbc | Degradation of PET plastic with engineered environmental ... | Alice M. Banks, Umar Abdulmutalib, Christian Sonnendecker... | 10.1101/2024.09.24.614569   | September_2024 | Polyethylene terephthalate (PET) is one of the most widel...
835546bd-6c27-1014-bbc9-cdb80f7a9366 | Microplastics may reduce the efficiency of the biological... | Cordelia Roberts, Clara M. Flintrop, Alexander Khachikyan... | 10.1101/2023.06.23.545915   | September_2023 | Plastics are pervasive in marine ecosystems and ubiquitou...
4ff2489d-6f67-1014-b66c-83adf4698e20 | Exposure to global change and microplastics elicits an im... | Colleen B. Bove *, Katharine Greene, Sharla Sugierski, Ni... | 10.1101/2022.09.05.506609   | September_2022 | Global change is increasing seawater temperatures and dec...
fb34ce42-6d11-1014-8543-fba87b9ae58d | Classification of Dielectric Microparticles by Microwave ... | Burak Sari, Uzay Tefek, M. Selim Hanay *                     | 10.1101/2022.09.27.509785   | September_2022 | Coulter counters and impedance cytometry are commonly use...
8392eb1d-6c9d-1014-b926-897c2c65c075 | Toxicity of microplastics and plastic additive co-exposur... | Shaojun Liang, Yixue Luo, Jun Yi, Lu Feng, Mingen Xu, Rui... | 10.1101/2022.09.12.506301   | September_2022 | The ubiquitous microplastics (MPs) and plastic additives ...
3aed8c8e-7545-1014-9baf-e24952e19d24 | Single particle-resolution fluorescence microscopy of nan... | Brian Nguyen, Nathalie Tufenkji *                            | 10.1101/2020.08.25.267443   | September_2020 | Understanding of nanoplastic prevalence and toxicology is...
a3b84492-760a-1014-af93-8974e8b08153 | Microplastic fibers affect dynamics and intensity of CO 2... | Matthias C. Rillig *, Mathias Hoffmann, Anika Lehmann, Yu... | 10.1101/2020.09.21.306589   | September_2020 | Microplastics may affect soil ecosystem functioning in cr...
afa678ca-6c0d-1014-a3ce-87fa69ac6648 | Measuring stepwise binding of a thermally fluctuating par... | A. Rohrbach *, T. Meyer, H. Kress                            | 10.1101/763680              | September_2019 | Thermal motions enable a particle to probe the optimal in...
0dc0144e-6e9b-1014-aa00-995458177b43 | Pandemic Legacy: Medical Facemasks as a Potential Source ... | Olivia Dillon, Ina Benner, Tatiana Zaliznyak, Carolina Ci... | 10.1101/2025.10.13.682204   | October_2025   | Understanding the main sources of microplastic pollution ...
478c1d65-7c54-1014-8ac9-abadc1ce5cb1 | Application-dependent assessment of the human exposure po... | Michelle Klein *, Bernd Giese                                | 10.1101/2025.09.29.679164   | October_2025   | The presence of microplastic in the environment has becom...
2c338a60-6ddd-1014-9f0d-9d3fb99a31a9 | Mosaic pattern: lung functional heterogeneity at the alve... | Gabrielle N. Grifno, Han Ali Kahvecioglu, Robert LeBourda... | 10.1101/2025.10.13.682072   | October_2025   | Inhaled particles carrying pathogens, pollutants (e.g., m...
951b373a-787c-1014-b9e2-dcf0082c7e7e | Microplastic pollution induces algae blooms in experiment... | Scott G. Morton *, Gabriel Vucelic-Frick, Jonathan R. Dic... | 10.1101/2025.10.24.683782   | October_2025   | An ever-growing sea of plastic waste permeates even the m...
ba15c64a-6dce-1014-84b4-ca1f311d0cd0 | The impact of microplastic contamination in cow manure on... | Nathan McConnell, Jaydon Galindo Lovell, Jill Walker, Ben... | 10.1101/2025.10.14.682200   | October_2025   | Microplastics are an emerging environmental hazard on a g...
a82f6453-6edf-1014-912b-d86571d7fdd1 | Isolation of Plastic Digesting Microbes from the Gastroin... | Hannah McKinnon Reish, Rebecca F. Witty, Adam H. Quade, J... | 10.1101/2024.10.16.618709   | October_2024   | Plastics, particularly polystyrene (PS) and polyethylene ...
a3331c39-7301-1014-a25f-845c1d77296a | Complete genome sequences of nine isolates from microplas... | Kira L Goff, Sneha Suresh, Jonas M Stadfeld, Srijak Bhatn... | 10.1101/2024.10.19.619244   | October_2024   | We present the complete genome sequences of nine bacteria...
a6241c3b-75cb-1014-a09a-f95c159c736d | Efficient secretion of a plastic degrading enzyme from th... | João Vitor Dutra Molino, Barbara Saucedo, Kalisa Kang, Ch... | 10.1101/2024.10.23.619606   | October_2024   | Plastic pollution has become a global crisis, with microp...
