PROJECT_TITLE,ABSTRACT_TEXT,CORE_PROJECT_NUM,PI_NAMEs,ORG_NAME,FISCAL_YEAR,SOURCE,EXP_HEAVY_METALS,EXP_AIR_POLLUTION,EXP_PFAS,EXP_PESTICIDES,EXP_PHTHALATES_BPA,EXP_SOLVENTS,EXP_PAHS_DIOXINS_PCBS,EXP_FLAME_RETARDANTS,EXP_MICROPLASTICS,EXP_NITRATES,MECH_NEURODEGENERATION,MECH_INFLAMMATION,MECH_OXIDATIVE_MITOCHONDRIAL,MECH_ENDOCRINE,MECH_MICROBIOME,MECH_IMMUNE_DYSFUNCTION,MECH_DNA_DAMAGE,MECH_EPIGENETIC,MECH_RECEPTOR_SIGNALING,MECH_SENESCENCE_CELL_DEATH,MECH_BARRIER_DISRUPTION,ORGAN_BRAIN_NERVOUS,ORGAN_GI_GUT,ORGAN_RESPIRATORY,ORGAN_CARDIOVASCULAR,ORGAN_REPRODUCTIVE,ORGAN_LIVER,ORGAN_KIDNEY,ORGAN_IMMUNE,ORGAN_SKIN,ORGAN_ENDOCRINE,TYPE_MECHANISTIC,TYPE_TOXICITY_SCREENING,TYPE_BIOMARKER,TYPE_RISK_ASSESSMENT,TYPE_INTERVENTION,TYPE_METHODS,TYPE_CONFERENCE,TYPE_CENTER_CORE,ADMINISTERING_IC,STAGE_EXPOSURE_CHAR,STAGE_TOXICITY,STAGE_MECHANISM,STAGE_HEALTH_OUTCOME,STAGE_INTERVENTION,PARTICLE_MICRO,PARTICLE_NANO,PARTICLE_FIBER,PARTICLE_ADDITIVE,MODEL_INVITRO,MODEL_RODENT,MODEL_ZEBRAFISH,MODEL_OTHER_ANIMAL,MODEL_HUMAN,MODEL_ENVIRONMENTAL,END_UPTAKE,END_INFLAMMATION,END_OXIDATIVE,END_GUT_MICROBIOME,END_REPRODUCTIVE,END_CARDIOVASCULAR,END_RESPIRATORY,END_NEURO,END_IMMUNE,END_GENOTOXIC,LLM_MECH_OXIDATIVE,LLM_MECH_INFLAMMATION,LLM_MECH_BARRIER,LLM_MECH_MICROBIOME,LLM_MECH_ENDOCRINE,LLM_MECH_NEURODEGENERATION,LLM_MECH_IMMUNE,LLM_MECH_DNA_DAMAGE,LLM_MECH_RECEPTOR,LLM_MECH_CELL_DEATH,LLM_OTHER_MECHANISMS,LLM_MECH_METABOLIC,doi,pub_date,STUDY_DETECTION_HUMAN,STUDY_EXPOSURE,FIRST_LAST_AUTHOR_ORG,LLM_HUMAN_HEALTH_RELEVANT,LLM_CONFIDENCE,LLM_STUDY_DETECTION,LLM_STUDY_EXPOSURE_ASSESSMENT,LLM_MECH_OXIDATIVE_STRESS,LLM_MECH_BARRIER_DISRUPTION,LLM_MECH_IMMUNE_DYSFUNCTION,LLM_MECH_RECEPTOR_SIGNALING,LLM_ORGAN_BRAIN_NERVOUS,LLM_ORGAN_CARDIOVASCULAR,LLM_ORGAN_GI_GUT,LLM_ORGAN_RESPIRATORY,LLM_ORGAN_REPRODUCTIVE,LLM_ORGAN_LIVER,LLM_ORGAN_KIDNEY,LLM_ORGAN_IMMUNE,LLM_ORGAN_ENDOCRINE,LLM_MODEL_INVITRO,LLM_MODEL_RODENT,LLM_MODEL_ZEBRAFISH,LLM_MODEL_HUMAN,LLM_MODEL_ENVIRONMENTAL,LLM_MODEL_OTHER_ANIMAL
"Microplastics from disposable paper cups are enriched in the placenta and fetus, leading to metabolic and reproductive toxicity during pregnancy","The health implications of microplastics (MPs), especially those originating from hot drinks in disposable paper cups (DPCs), are increasingly alarming. We investigated the accumulation and metabolic and reproductive toxicological effects of MPs from DPCs filled with hot water in various tissues in a pregnant mouse model. Simulating human intake of 0.3, 3.3, and 33.3 cups daily, we found MPs exposure-induced dose-responsive harmful effects on murine fetal development and maternal physiology. MPs were detected in all 13 examined tissues, with the highest accumulation in the cecal contents, followed by significant depositions in the fetus, placenta, kidney, spleen, lung, and heart. A higher proportion of smaller MPs (90.35% < 10 μm) was identified in brain tissues. Dose-responsive changes in functional microbiome and gene pathways were observed. Moderate MPs intake of 3.3 cups daily significantly altered cecal microbiome composition and metabolic functions. The transcriptomic functional variations in maternal blood, placenta, and mammary gland underscore the significant impacts of realistic MPs exposure on metabolic and immune health and posing neurodegenerative and miscarriage risks. The benchmark dose framework analysis using tissue-specific gene biomarkers revealed safe exposure limits at 2 to 4 cups/day during pregnancy. Our results indicate selective tissue accumulation and potential metabolic and reproductive toxicities of MPs at exposure levels presumed non-hazardous. Such risks remain unaddressed within current food safety regulations, impacting vulnerable groups such as pregnant women and fetuses. Microplastics released from disposable paper cups filled with hot water showed preferential accumulations in the murine fetus, placenta, kidney, spleen, lung, and heart, with significant adverse impacts on fetal development. Microplastic exposure led to dose-responsive maternal microbiome changes associated with increased fatty acid biosynthesis and elevated express",bio_0354b0f56d9b,"Qiong Chen *, Chen Peng, Haoteng Xu, Zhuojie Su, Gulimire Yilihan, Xin Wei, Yueran Shen, Chao Jiang *",,2024.0,bioRxiv (preprint),0,0,0,0,0.0,0.0,0.0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,10.1101/2024.01.20.576431,2024-01-20,1,0,"Zhejiang Provincial Key Laboratory of Cancer Molecular Cell Biology, Life Sciences Institute, Zhejiang University , Hangzhou, Zhejiang 310058,  China",1,high,1,1,0,0,0,0,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0
Human bioaccumulation of micro- and nanoplastics is primarily determined by the organs’ vascular volume,"Recent studies have demonstrated the accumulation of micro- and nanoplastics (MNPs) in human organs, particularly in the brain, at an alarming rate (Campen et al., 2024, doi.org/10.21203/rs.3.rs-4345687/v1). This study examines the phenomenon of bioaccumulation in relation to up to six distinct biological and biomedical parameters pertaining to vascular structure and composition in seven organ tissues: the brain cortex, kidney, liver, testis, and three arteries (coronary, carotid and aorta). As anticipated based on fundamental mechanistic considerations of bioaccumulation (washing rate), the MNP content appears to be proportional to the inverse of the capillary volume fraction ( V c ), exhibiting no correlation with any other geometric variable, such as capillary diameter or capillary segment length. This finding is consistent with the small size spectra of MNPs in comparison to these dimensions. However, contrary to expectations, no correlation was observed between MNP content and biological composition (lipid, water, or carbohydrate content), while a likely non-causal correlation was observed between MNP content and protein content, which may be simply attributed to the non-linear correlation between protein content and  V c . The conclusions that point to a possibly exceedingly large number of MNP particles currently in our brains call for urgent further investigation and the revision of the published data.",med_043072996c17,Alfonso M. Gañán-Calvo *,,2024.0,medRxiv (preprint),0,0,0,0,0.0,0.0,0.0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,10.1101/2024.10.01.24314502,2024-10-01,1,0,"Laboratory of Engineering for Energy and Environmental Sustainability, Universidad de Sevilla , 41092 Sevilla,  Spain",1,high,1,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0
Effects of true to life polyethylene terephthalate and polycaprolactone nanoparticles on macrophages under a repeated exposure mode,"Micro and nanoplastics are pollutants which concentration in different biotopes increases continuously over time, which poses the question of their potential effects on health. In animals, these micro and nanoplastics are recognized as particulate materials and thus handled by macrophages, either directly in the case of lung exposure, or after the particles have crossed the epithelial barriers in case of oral or dermal exposure. It is thus important to study the potential effects of micro and nanoplastics on macrophages. Most studies have used an experimental scheme in which the cells of interest are exposed to a single dose of plastics, and where the readout of the studied parameters is made immediately after exposure. However, this classical experimental scheme does not take into account the impact of biopersistence, nor the potential cellular adaptation that may take place when cells are exposed repeatedly to a low dose of plastics. We thus used a repeated exposure scheme, in order to better take into account these phenomena. Within this frame, we compared the macrophages responses to a persistent nanoplastic, i.e. true-to-life polyethylene terephthalate nanoparticles and to a biodegradable nanoplastic, i.e. polycaprolactone, by a combination of proteomic and targeted experiments. Our results show that under this repeated exposure scheme, the proteome changes were of a lesser extent than under the acute exposure mode, indicating cell adaptation. However, polyethylene terephthalate nanoparticles induced oxidative stress and a pro-inflammatory response, while polycaprolactone nanoparticles induced a depression of macrophages functions, indicating harmful effects even in the repeated exposure scheme.",bio_04521dae6f9d,"Véronique Collin-Faure, Aliro Villacorta, Hélène Diemer, Sarah Cianférani, Ricard Marcos, Alba Hernandez, Marie Carrière, Elisabeth Darrouzet, Thierry Rabilloud *",,2025.0,bioRxiv (preprint),0,0,0,0,0.0,0.0,0.0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,,,10.1101/2025.11.08.687361,2025-11-08,0,1,"Group of Mutagenesis, Department of Genetics and Microbiology, Faculty of Biosciences, Universitat Autònoma de Barcelona , 08193 Cerdanyola del Vallès,  Spain",1,high,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Polyethylene terephthalate (PET) micro- and nanoplastic particles affect the mitochondrial efficiency of human brain vascular pericytes without inducing oxidative stress,"The objective of this investigation was to evaluate the influence of micro- and nanoplastic particles composed of polyethylene terephthalate (PET), a significant contributor to plastic pollution, on human brain vascular pericytes. Specifically, we delved into their impact on mitochondrial functionality, oxidative stress, and the expression of genes associated with oxidative stress and ferroptosis. Our findings demonstrate that the exposure of a monoculture of human brain vascular pericytes to PET particles  in vitro  at a concentration of 50 ppm for a duration of 6 days did not elicit oxidative stress. Notably, we observed an augmentation in various aspects of mitochondrial respiration, including extracellular acidification, proton pump leakage, maximal respiration, spare respiratory capacity, and ATP production in pericytes subjected to PET particles. Furthermore, there were no statistically significant alterations in mitochondrial DNA copy number, or the expression of genes linked to oxidative stress and ferroptosis. These outcomes suggest that, at a concentration of 50 parts per million (ppm) and for 6 days exposure, PET particles do not induce oxidative stress in human brain vascular pericytes. Instead, they seem to incite a potential mitochondrial hormesis, also named mitohormesis, response, which seemingly enhances mitochondrial function. Further investigations are warranted to explore the stages of mitohormesis and the potential consequences of plastics on the integrity of the blood-brain barrier and intercellular interactions. This research contributes to our comprehension of the potential repercussions of nanoplastic pollution on human health and underscores the imperative need for ongoing examinations into the exposure to plastic particles. Fabrication of polyethylene terephthalate (PET) micro- and nanoplastics PET particles increase pericytes mitochondrial respiration functions PET particles increase pericytes extracellular acidification Oxidative stress ",bio_0784011d6c84,"Sean M. Gettings, William Timbury, Anna Dmochowska, Riddhi Sharma, Lewis E. MacKenzie, Guillaume Miquelard-Garnier, Nora Bourbia *",,2023.0,bioRxiv (preprint),0,0,0,0,0.0,0.0,0.0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,,,10.1101/2023.10.24.563735,2023-10-24,0,0,,1,high,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0
Deleterious imprinting of perinatal exposure to nano-polystyrene on inflammatory bowel diseases,"The tremendous and exponential production of plastics as well as its poor recycling leads to massive release in the environment questioning their outcomes on human health. Plastics are degraded into micro-plastic (MPL) and nano-plastic (NPL) that undergo weathering. MPL and NPL enter the human food chain via contaminated food, when animals are bred or vegetables grew on in plastic polluted environment and through the degradation of plastics food packaging. Ingested MPL or NPL can pass through epithelial barrier. This study focuses on consequences of oral perinatal exposure to polystyrene 50nm pristine or weathered (w) on intestinal disorders onset in offspring. Mouse were forced fed daily with 1.25mg of PS50 or PS50w starting at 15 days of gestation until pups weaned (Post Natal Day PND21). Oral tolerance protocol was induced at PND15 (nutritional switch) with ovalbumin (OVA) whereas DSS-induced colitis was performed in PND63 offspring. PS50 nor PS50w perinatal exposure did impair tolerance or immunization to OVA at PND15 in male or females. However, PS50 and PS50w perinatal exposure significantly worsened macroscopic score of DSS-induced colitis in both sexes. Perinatal exposure to PS50w appeared to be even more deleterious than PS50 for colitis exacerbation in males. In conclusion, early life exposure to PS50 or PS50w has long-lasting consequences on gut physiology by increasing the colonic severity of colitis while it does not modify oral tolerance establishment in early life. Those preliminary results questioned the kinetic of perinatal PS50 and PS50w exposure outcome over the life course and introduce the notion of imprinting. Perinatal exposure to PS50 or PS50w does not affect oral tolerance establishment nor immune response to immunisation at PND15 Perinatal exposure to PS50 or PS50w have long lasting consequences on intestinal inflammation and colitis. PS50w in male has even more deleterious outcomes. Restricted exposure to PS50 or PS50w during perinatal has",bio_0a17d8006c34,"Melvin Airaud, Amandine Roldan, Jeanne Le Cléac’h, Lisa Isoard, Emmanuel Mas, Marie Carrière, Sandrine Ménard *, Frédérick Barreau *",,2024.0,bioRxiv (preprint),0,0,0,0,0.0,0.0,0.0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,,,10.1101/2024.12.20.629591,2024-12-20,0,0,"Service de Gastroentérologie, Hépatologie, Nutrition et Maladies Héréditaires du Métabolisme et Centre de Référence des Maladies Rares Digestives, Hôpital des Enfants, CHU de Toulouse , Toulouse,  Fra...",1,high,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
"DEVELOPMENT AND VALIDATION OF A QUESTIONNAIRE ASSESSING PLASTIC USE PATTERNS, KNOWLEDGE, AND ATTITUDES TOWARD MICROPLASTICS IN RELATION TO COGNITIVE FUNCTION IN INDONESIA","Microplastics (MPs) have emerged as pervasive environmental contaminants, with growing concerns about their potential health impacts, including neurocognitive effects. In Indonesia, where plastic pollution is severe, no validated tool exists to assess public plastic use patterns and MP awareness in relation to cognitive health. This study aimed to develop and validate a comprehensive questionnaire evaluating plastic consumption behaviors, MP knowledge, attitudes, and their association with cognitive function in Indonesian adults. A cross-sectional pilot study was conducted with 30 participants (80% female, mean age 37.4±13.7 years). The questionnaire was developed through literature review, expert consultation, and focus group discussions, covering six domains: demographics, health history, MP knowledge, plastic use behaviors, environmental attitudes, and cognitive screening (AD-8). Validity was assessed using Pearson’s correlation, and reliability was measured via Cronbach’s alpha. The questionnaire demonstrated strong validity for knowledge (r=0.379, p=0.039), behavior (r=0.726, p<0.001), and attitude sections (r=0.385, p=0.036), with acceptable reliability (α=0.623). Neurocognitive assessment revealed significantly lower AD-8 scores in participants with cognitive decline (mean=11.14) versus normal cognition (mean=18.03, p=0.038). Key findings included high single-use plastic consumption, limited awareness of MP regulations (70% uninformed), and an attitude-behavior gap in mitigation efforts. The tool effectively identified MP knowledge gaps and behavioral risks while suggesting a plausible link between plastic exposure and cognitive impairment. The AD-8’s sensitivity and specificity supported its utility for screening, though the modest sample size limited statistical power for correlation analyses. This validated questionnaire provides a critical foundation for assessing MP-related cognitive risks in Indonesia. Future studies should expand validation in larger c",bio_122a4ffd7e20,"Pukovisa Prawiroharjo *, Agustino Zulys, Aldithya Fakhri, Afifah Rahmi Andini, Anyelir Nielya Mutiara Putri, Noryanto Ikhromi, Elizabeth Divina, Aileen Gabrielle",,2025.0,bioRxiv (preprint),0,0,0,0,0.0,0.0,0.0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,10.1101/2025.06.23.660969,2025-06-23,1,0,"Department of Neurology Faculty of Medicine, Universitas Indonesia",1,high,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
The effects of nano– and microplastic ingestion on the survivorship and reproduction of  Aedes aegypti  (L.) and  Aedes albopictus  (Skuse),"Microplastics (MPs) and nanoplastics (NPs) are pervasive environmental pollutants that raise concerns due to their potential impact on organisms across different trophic levels. While the effects of MPs on aquatic organisms have been extensively studied, their impacts on terrestrial organisms, mainly insects, still need to be explored. This study investigates the effects of MP and NP ingestion on the survivorship and reproduction of two medically important mosquito species,  Aedes aegypti  (L.), and  Ae. albopictus  (Skuse). Larval and pupal survivorship were not significantly affected by particle size or concentration, but there was a reduction of  Ae. aegypti  pupal survivorship associated with the ingestion of 0.03 µm NPs. Results also suggest that ingesting 0.03 µm NPs reduced egg production in both mosquito species. However, there was little impact of 0.03 NP and 1.0 µm MP ingestion on adult survivorship and longevity. To further investigate the effects of MP ingestion on mosquito fitness, we also examined the effects of lab generated MPs of varying shape, size, and plastic polymer type on  Ae. aegypti  immature and adult survivorship. The data suggests that the polymer type and shape did not impact  Ae. aegypti  immature or adult survivorship. These findings highlight the potential consequences and the need to investigate further the ecological and potential public health implications of MP and NP ingestion by mosquitoes.",bio_1b7e50db6e4a,"Gabriella McConnel, Jordann Lawson, Jaclyn E. Cañas-Carrell, Corey L. Brelsfoard *",,2023.0,bioRxiv (preprint),0,0,0,0,0.0,0.0,0.0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,10.1101/2023.06.23.546347,2023-06-23,0,0,,1,medium,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Particulate Contamination of Human Placenta: Plastic and non-plastic,"Recent evidence indicates that the human womb is contaminated with a variety of particulate contaminants. Microplastics (MPs, tiny plastic particles ( < 5 mm) generated by the breakdown of larger plastic products in the environment) accumulation in human placenta has recently been described. In addition, recent evidence has correlated the number of air pollution particulates in term placentas to the loading of these particles in dust from the gestational parent home. The current study sought to characterize the accumulation of plastic and non-plastic particles (NPP) within the term human placenta. Placenta tissues were collected from healthy, singleton pregnancies following vaginal (n=5) and caesarean section (n=5) deliveries at a tertiary care centre located in an urban Canadian city (Ottawa, ON), with particles detected and characterized by Raman micro-spectroscopy. Both plastic and non-plastic particles were identified in all placentas examined, with an average of 1 ± 1.2 MPs /g and 4 ± 2.9 NPP /g of tissue. Similar tissue concentrations of MPs and NNP were identified in all regions of the placenta (basal plate, chorionic villous, chorionic plate), and did not differ according to mode of delivery. MPs ranged in size (2 - 60 μm), with the most abundant MPs being polyethylene (PE), polypropylene (PP), polystyrene (PS) and polyvinyl chloride (PVC). The most abundantly identified NPP were carbon, graphite, and lead oxide. Collectively, these results demonstrate the accumulation of foreign particles, including MPs, throughout the human placenta. Given the vital functions of the placenta in supporting fetal growth and development, and a potential for MPs to induce toxicity, further investigations into the potential harmful effects of these environmental toxicants on maternal and fetal health is warranted. Both plastic and non-plastic foreign particles were observed in term placentas from Canadian women 
 Placenta contamination with most of the non-plastic particle type",bio_1c0e54c27894,"Rewa Zurub, Shannon Bainbridge, Luna Rahman, Sabina Halappanavar, Michael G. Wade *",,2024.0,bioRxiv (preprint),0,0,0,0,0.0,0.0,0.0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,10.1101/2024.03.01.583005,2024-03-01,1,0,"Interdiciplinary School of Health Sciences, Faculty of Health Sciences, University of Ottawa",1,high,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Investigating the Impact of Microplastics on Fish Muscle Cell Proliferation and Differentiation: Enhancing Food Safety in Cultivated Meat Production,"Cultivated meat, a sustainable alternative to traditional livestock farming, has gained attention for its potential environmental and health benefits. However, concerns about microplastic contamination pose challenges, especially when sourcing cells from marine organisms prone to microplastic bioaccumulation. Additionally, the pervasive presence of microplastics in laboratory settings, ingredients, and during the production, increases the risk of unintentional contamination. This study focused on Atlantic mackerel ( Scomber scombrus ) skeletal muscle cell lines to examine the effects of microplastic exposure, represented by fluorescent polyethylene microspheres (10-45 µm) on cell performance including cell proliferation, cell viability, gene expression, and differentiation processes critical for cultivated meat production. The results revealed significant impacts on cell attachment and proliferation at microplastic concentrations of 1 µg/mL, 10 µg/mL, and 50 µg/mL. Notably, the 10 µg/mL concentration exerted the most pronounced effects on cell viability during both attachment and proliferation phases. While the results indicated that both microplastic concentration and size influence cell viability, cell differentiation remained unaffected, and additional contributing factors require further investigation. These findings underscore the necessity of thoroughly exploring microplastic-cell interactions to ensure food safety and safeguard health within the burgeoning cultivated meat industry.",bio_1f68f5d66f76,"Taozhu Sun, Alfonso Timoneda, Amiti Banavar, Reza Ovissipour *",,2023.0,bioRxiv (preprint),0,0,0,0,0.0,0.0,0.0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,10.1101/2023.10.11.561915,2023-10-11,0,0,,1,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Diversification mitigates pesticide but not microplastic effects on bees without compromising rapeseed yield in China,"Humanity depends on agriculture for food, fiber and energy provisioning, but input-intensive agricultural production is impacting ecosystem services such as pollination. Pollution effects from neonicotinoid insecticides on pollinators receive much attention, but nothing is known on the synergistic effects with emerging plastic contaminants and the mitigation potential of agricultural diversification. Here, we conduct the first large-scale and full-factorial mesocosm study to understand two-generation effects of diversified floral resources (diversification treatment), neonicotinoid and microplastic pollution (pollution treatments) on  Osmia cornifrons  bees in 72 mesocosms. In our three-year experiment, we found that diversification can mitigate individual neonicotinoid effects. We did not find any individual or synergistic effects of microplastic on reproductive performance of solitary bees. None of our treatments affected rapeseed yield. Our results confirm the benefits of diversified flower resources to mitigate pesticide effects on bees in China and suggest that microplastics have no acute individual or interaction toxicity in semi-natural environment at realistic exposure levels. Diversified flower resources in Chinese agricultural landscapes to mitigate pesticide pollution effects on pollinators is an important policy argument for pollinator protection with downstream implications for food security.",bio_1fa120cd6c86,"Wei Lin, Xueqing He, Jilan Hu, Marcel Balle, Kevin F.A. Darras, Siyuan Jing, Christoph Scherber, Manuel Toledo-Hernández, Yan Yan, ChengCheng Zhang, Siyan Zeng, Thomas Cherico Wanger *",,2024.0,bioRxiv (preprint),0,0,0,0,0.0,0.0,0.0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,10.1101/2024.09.28.615554,2024-09-28,0,0,"Sustainable Agricultural Systems & Engineering Laboratory, School of Engineering, Westlake University , Hangzhou,  China",1,high,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
