doc_id,title,authors,doi,pub_date,year,abstract
PMC12840851,"Risks Associated with Dietary Exposure to Contaminants from Foods Obtained from Marine and Fresh Water, Including Aquaculture",Martin Rose,10.3390/ijerph23010085,2026-01-07,2026,"Public health relevance—How does this work relate to a public health issue? 
 Fish and other foods produced in aquatic systems can be nutritious, but they are also prone to contain relatively high levels of chemical contaminants. Public health significance—Why is this work of significance to public health? 
 Increased aquaculture and recommendations to consume more fish may have an impact on dietary exposure to pollutants and contaminants found in fish and other products produced in these environments. Public health implications—What are the key implications or messages for practitioners, policy makers and/or researchers in public health? 
 Risk–benefit analysis should support recommendations to consume more fish. Regulatory control should be considered for emerging contaminants such as micro- and nano-plastics. Aquatic environments have been a critical source of nutrition for millennia, with wild fisheries supplying protein and nutrients to populations worldwide. A notable shift has occurred in recent decades with the expansion of aquaculture, now representing a fast-growing sector in food production. Aquaculture plays a key role in mitigating the depletion of wild fish stocks and addressing issues related to overfishing. Despite its potential benefits, the sustainability of both wild and farmed aquatic food systems is challenged by anthropogenic pollution. Contaminants from agricultural runoff, industrial discharges, and domestic effluents enter freshwater systems and eventually reach marine environments, where they may be transported globally through ocean currents. Maintaining water quality is paramount to food safety, environmental integrity, and long-term food security. In addition to conventional seafood products such as fish and shellfish, foods such as those derived from microalgae are gaining attention in Western markets for their high nutritional value and potential functional properties. These organisms have been consumed in Asia for generations and are "
PMC12843849,Polystyrene Nanoplastics Increase Macrophage Bactericidal Activity Through a Mechanism Involving Reactive Oxygen Species and Itaconate,"Seyedeh Safoora Moosavi, Hamlet Acevedo Ospina, Albert Descoteaux",10.3390/nano16020105,2026-01-13,2026,"Nanoplastics are persistent environmental pollutants with potential risks to human health. Due to their small size, nanoplastics are internalized by macrophages, potentially altering their function. In this study we found that, in macrophages, 50 nm polystyrene nanoplastics were predominantly present in endosomes, lysosomes, and in the endoplasmic reticulum. Internalization of polystyrene nanoplastics increased the bactericidal activity of macrophages, which was inhibited by the NADPH oxidase inhibitor diphenyleneiodonium. Consistently, measurements of cellular and mitochondrial reactive oxygen species by flow cytometry revealed that polystyrene nanoplastics induced reactive oxygen species production in macrophages. In contrast, internalization of polystyrene nanoplastics reduced the levels of nitric oxide released by macrophages in response to  E. coli . Internalization of polystyrene nanoplastics followed by the addition of  E. coli  induced high expression levels of the aconitate decarboxylase 1 gene. In the absence of this gene, killing of  E. coli  by macrophages exposed to polystyrene nanoplastics was significantly attenuated with respect to control macrophages, indicating a role for the mitochondrial metabolite itaconate in the increased bactericidal activity of macrophages exposed to polystyrene nanoplastics. Collectively, our results indicate that exposure of macrophages to polystyrene nanoplastics increases their bactericidal activity through the production of reactive oxygen species and of itaconate."
PMC12870336,PET microplastics induce lipotoxicity in the porcine pancreas,"Karol Mierzejewski, Aleksandra Kurzyńska, Monika Golubska, Robert Stryiński, Ismena Gałęcka, Jarosław Całka, Paula Borrajo, Manuel Pazos, Mónica Carrera, Iwona Bogacka",10.1186/s12864-025-12507-8,2026-01-07,2026,"The online version contains supplementary material available at 10.1186/s12864-025-12507-8. Microplastics are a relatively new discovered environmental hazard that can contribute to the disruption of many physiological processes in the organism. There is evidence that they affect the physiology of the pancreas, but research in this area remains limited. Therefore, the aim of the study was to determine the effects of PET microplastics on the global proteomic profile of the pancreas using LC–MS/MS analysis, with the pig as a model organism. The pigs were treated either with a low (0.1 g/day) or a high dose (1 g/day) of PET microplastics for four weeks. The analysis revealed that PET microplastics affected protein abundance in a dose-dependent manner – the low dose altered the abundance of 7 proteins, while the high dose – 17. The differentially regulated proteins were involved in fatty acid biosynthesis (FASN, KAS), lipid peroxidation (CBR1) and digestive enzyme production (trypsinogen). Complementary colorimetric assays confirmed a significant increase in free fatty acids under the influence of a high dose of PET microplastics. Taken together, these results indicate that PET microplastics may affect oxidative status, induce lipotoxic stress and impair pancreatic exocrine function, suggesting a novel pathway through which microplastics may cause metabolic disturbances."
PMC12871986,Biodegradation of polyethylene terephthalate microplastics by  Paenibacillus naphthalenovorans  PETKKU2: Response surface optimization and genomic evidence for an alternative degradation mechanism,"Aophat Choonut, Nantharat Wongfaed, Auraiwan Poolpol, Sophon Boonlue, Kitirote Wantala, Onruthai Pinyakong, Pensri Plangklang *, Alissara Reungsang *",10.1371/journal.pone.0341623,2026-02-04,2026,"This study establishes  Paenibacillus naphthalenovorans  PETKKU2, isolated from landfill soil in Thailand, as the first reported member of this species capable of degrading polyethylene terephthalate microplastics (PET-MP). Initial screening identified PETKKU2 as the most efficient degrader among ten isolates, achieving 6.07 ± 0.18% weight loss after 35 days at 37°C. Response surface methodology optimization of pH, nitrogen concentration, and PET-MP loading enhanced degradation to 9.48 ± 0.21%, closely matching the predicted maximum of 11.15% and representing 96% improvement over baseline conditions. Integrated analytical characterization (FTIR, SEM, GC-MS) revealed an alternative degradation mechanism distinct from classical PETase-MHETase pathways. FTIR analysis confirmed extensive polymer oxidation with 41% reduction in ester carbonyl groups, while SEM demonstrated progressive surface erosion. Critically, the absence of mono(2-hydroxyethyl) terephthalate (MHET) intermediates, combined with whole-genome analysis revealing thermostable lipases, carboxylesterases, and dioxygenases, but no PETase/MHETase homologs, indicates novel enzymatic routes. Operating under mesophilic conditions (37 °C), PETKKU2 eliminates energy-intensive heating requirements while achieving performance comparable to established thermophilic degraders. These findings establish a promising platform for sustainable PET-MP bioremediation and advance understanding of alternative microbial plastic degradation mechanisms."
PMC12812938,Correction: Novel probiotics adsorbing and excreting microplastics  in vivo  show potential gut health benefits,,10.3389/fmicb.2025.1760123,2026-01-05,2026,
PMC12844357,Ecotoxicological Impacts of Microplastics and Cadmium Pollution on Wheat Seedlings,"Shuailing Yang, Steven Xu, Tianci Guo, Zhangdong Wei, Xingchen Fan, Shuyu Liang, Lin Wang",10.3390/nano16020090,2026-01-09,2026,"As plastic and heavy metal pollution continue to escalate, the co-occurrence of microplastics and heavy metals in the environment poses significant threats to ecosystems and human health. This study was designed to explore the combined effects of polyethylene microplastics (PE-MPs) and cadmium (Cd) pollution on wheat seedlings, focusing on antioxidant enzyme activity and Cd bioaccumulation. At low concentrations of PE ( 1 mg · L − 1 ), peroxidase (POD) activity in wheat shoots slightly increased without significance, while at higher concentrations ( 50 mg · L − 1  and  100 mg · L − 1 ) of PE, POD activity was significantly inhibited compared to  0 mg · L − 1  PE treatment. At Cd exposure activity, with POD activity in the shoots increasing by 73.7% at  50 μ mol · L − 1 Cd 2 +  compared to  0 μ mol · L − 1  Cd treatment. When wheat seedlings were exposed to a combination of  50   mg · L − 1  PE and Cd at different concentrations Cd, significant differences in POD activity were observed in the shoots compared to the control group, showing an upward trend with increasing Cd concentration. However, the addition of PE suspension generally reduced POD activity in wheat shoots compared to Cd treatment alone. Specifically, the presence of  50 mg · L − 1  PE did not significantly alter POD activity in the wheat shoots ( p > 0.05 ). Furthermore, exposure to different concentrations of Cd resulted in a general increase in POD activity of roots, with significant differences observed at  5 μ mol · L − 1  and  25 μ mol · L − 1  Cd ( p < 0.05 ). Regarding Cd bioaccumulation, at Cd low concentrations ( 1 μ mol · L − 1  and  5 μ mol · L − 1 ), PE significantly promoted Cd accumulation in the shoots. However, at high Cd concentrations ( 50 μ mol · L − 1 ), PE microplastics reduced Cd accumulation in the shoots but promoted its accumulation in the roots.These results suggest that PE microplastics influence the bioavailability of Cd, mitigating the toxic effects of high Cd concentratio"
PMC12851922,Atmospheric microplastic emissions from land and ocean,"Ioanna Evangelou, Silvia Bucci, Andreas Stohl",10.1038/s41586-025-09998-6,2026-01-21,2026,"Microplastics (MPs) are global pollutants 1 , yet their atmospheric distribution is poorly understood 2 . Although atmospheric MP measurements have become more abundant, estimates of emissions into the atmosphere vary by orders of magnitude 3 , 4 . Here we compile a global atmospheric MPs dataset and compare it with size-aligned MP model simulations. Our model simulations show two to four orders of magnitude overestimation of the measured global median atmospheric MP concentrations. Measured median concentrations over the ocean are 27 times lower than over the land (0.003 and 0.08 particles m −3 , respectively). Applying a simple scaling method, we estimate that oceanic emissions are lower in number than land-based emissions. The total global land-based and oceanic emissions are 6.1 × 10 17  (1.3 × 10 17  to 1.1 × 10 18 ) particles year −1  and 2.6 × 10 16  (2.7 × 10 15  to 5.0 × 10 16 ) particles year −1 , respectively. Our results indicate that fewer MP particles are emitted into the atmosphere than previously thought. Land sources dominate the number but not the mass emissions, indicating that MPs emission size distributions should be investigated further."
PMC12780347,Toward Scalability: Fe‐MOF‐Based Ultrafiltration Membrane for Effective Microplastics Removal from Drinking Water at Point‐of‐Use,"Sahil Shrestha, Ajaya Subedi, Shane A. Snyder, Michael J. Angove, Shukra Raj Paudel",10.1002/gch2.202500559,2026-01-07,2026,"The frequent detection of microplastics (MPs) in bottled drinking water underscores the need for effective point‐of‐use (POU) purification strategies to limit human exposure, particularly given their ability to transport co‐contaminants. While metal‐organic frameworks (MOFs) have been extensively investigated for MP removal, their application in practical POU drinking water purification remains largely underexplored, especially regarding scalability and delivery of potable water after filtration. In this work, NH 2 ‐MIL‐101(Fe) MOF is integrated onto a commercial polyvinylidene fluoride (PVDF) ultrafiltration (UF) membrane to develop a Fe‐MOF@UF composite for enhanced removal of polyethylene terephthalate (PET)‐MP from drinking water. The optimally synthesized Fe‐MOF@UF membrane achieved a PET‐MP rejection efficacy of ∼94%. Additionally, its practical applicability is validated using commercially available PET‐bottled drinking water, confirming the effective removal of MPs while delivering potable water compliant with international drinking water quality standards. Collectively, these outcomes emphasize the first practical viability of MOF‐membrane hybrids for POU drinking water treatment. Despite limitations, this research lays a strong groundwork for future efforts toward performance optimization and highlights a viable pathway for scalable, cost‐effective, and sustainable MOF‐incorporated household MP filtration units."
PMC12790530,Examining Latin America’s Transition to a Circular Economy for Plastics,"Lina Raquel Rodríguez-Meza, Felipe Romero-Perdomo, Miguel Ángel González-Curbelo",10.1007/s00267-025-02298-9,2026-01-10,2026,"In light of global efforts to advance a circular economy for plastics, this study examines Latin America’s transition through three core objectives. First, it analyzes secondary data on plastic production and consumption and the generation, mismanagement, and transboundary trade of plastic waste. Second, it scrutinizes government-led initiatives across the region based on official policy documents. Third, it conducts a SWOT analysis, evaluating the initiatives’ strengths, weaknesses, opportunities, and threats to assess the current landscape of circular product design and business models, as well as their potential to mitigate the environmental impacts of the triple planetary crisis. Findings reveal that plastic production, consumption, and waste are steadily increasing in the region, while waste management and sustainable trade remain insufficient. The circular economy for plastics has gained traction through national strategies, roadmaps, and legal instruments. Its adoption has been notable in Chile and Uruguay, but negligent in several countries. Governments are supporting research into recycled materials and polymer innovation, yet policy gaps persist around microplastics and harmful additives in plastic product design. Most initiatives prioritize circular supply chains and resource recovery business models, while giving limited attention to other models and the underlying drivers and barriers. Furthermore, initiatives often address plastic pollution with weak linkages to climate change and biodiversity loss. This research strengthens the understanding and implementation of actions positioning circular design as pivotal to reducing plastic waste at the source, circular business models as catalysts for low-carbon economies, and the fight against the triple planetary crisis as an environmental objective of circular economy initiatives."
PMC12796432,Global change factors differ in effect when acting alone and in a multi-factor background,"Rebecca Rongstock, Huiying Li, Anika Lehmann, Anja Wulf, Matthias C. Rillig",10.1038/s41467-025-68155-9,2026-01-09,2026,"The presence of multiple global change factors affects most ecosystems. Urban soils face stressors like heat, drought, road salt, nitrogen deposition, surfactants, and microplastics. Given that combined factors of global change have shown unpredictable effects, we here ask which individual factors have particularly negative effects in multifactorial contexts. We explore this through a subtractive design, comparing single-factor treatments (addition) to treatments where a specific factor is removed (subtraction). The results vary from predominantly negative, positive, to mixed effects. However, removing these factors from a multi-factor context generally improves soil properties and biological processes. Resource related factors enhance microbial activity individually but show no such benefit in multi-factor scenarios. Our findings highlight that the combined effects of factors often differ from their individual impacts. In restoration, priority should be given to mitigating factors with the strongest negative influence in multi-stressor contexts, rather than targeting those with significant isolated effects."
